Date;Time;Severity;TID;This;Function;Message
2020/05/28;21:33:54.440;INFO;20916;0;client::ClientEngine::connectClient@120;"Client connected on IP 127.0.0.1 port 62111"
2020/05/28;21:33:54.440;INFO;26688;0;client::ClientEngine::waitingRequests@151;"Client ready to process incoming requests"
2020/05/28;21:33:57.283;DEBUG;26688;0;client::ClientTCPSocket::receivePacket@121;"Failed to receive data size from client -  [socket:1592][buffer:0][size:4][flags:0]"
2020/05/28;21:33:57.284;INFO;26688;0;client::ExampleTerminalPCSCContactless::disconnect@293;"Terminal PCSC disconnected successfully"
2020/05/28;21:33:57.286;INFO;26688;0;client::ClientEngine::disconnectClient@143;"Client disconnected successfully"
2020/05/28;21:33:57.286;INFO;26688;0;client::ClientEngine::waitingRequests@163;"Client not waiting for requests"
2020/05/28;21:35:42.381;INFO;20916;0;client::ClientEngine::connectClient@93;"Client trying to connect on IP 127.0.0.1 port 62111"
2020/05/28;21:35:42.388;DEBUG;20916;0;client::ClientTCPSocket::connectClient@59;"Socket = 1808"
2020/05/28;21:35:42.491;DEBUG;20916;0;client::ExampleTerminalPCSCContactless::connect@122;"Reader connected: Alcor Micro USB Smart Card Reader 0"
2020/05/28;21:35:42.492;INFO;20916;0;client::ClientEngine::connectClient@120;"Client connected on IP 127.0.0.1 port 62111"
2020/05/28;21:35:42.493;INFO;28020;0;client::ClientEngine::waitingRequests@151;"Client ready to process incoming requests"
2020/05/28;21:35:46.157;INFO;28020;0;client::ClientEngine::handleRequest@174;"Request received from server: {""data"":"""",""request"":3,""timeout"":5500}"
2020/05/28;21:35:46.158;INFO;28680;0;client::Echo::run@24;"Request ""echo"" is being processed"
2020/05/28;21:35:46.170;INFO;28020;0;client::ClientEngine::sendResult@228;"Response sent to server: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":0,""response"":""6D 00"",""terminal_description"":""OK""}"
2020/05/28;21:35:55.045;INFO;28020;0;client::ClientEngine::handleRequest@174;"Request received from server: {""data"":""00"",""request"":6,""timeout"":54999}"
2020/05/28;21:35:55.045;INFO;17520;0;client::Command::run@24;"Request ""command"" is being processed"
2020/05/28;21:35:55.045;DEBUG;17520;0;client::Command::run@27;"Command : "
2020/05/28;21:36:05.046;DEBUG;17520;0;client::Command::run@29;"End Sleep : "
2020/05/28;21:36:05.047;INFO;28020;0;client::ClientEngine::sendResult@228;"Response sent to server: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":0,""response"":""119000"",""terminal_description"":""OK""}"
2020/05/28;21:36:14.385;INFO;28020;0;client::ClientEngine::handleRequest@174;"Request received from server: {""data"":"""",""request"":2,""timeout"":4999}"
2020/05/28;21:36:14.388;INFO;22984;0;client::ExampleTerminalPCSCContactless::disconnect@293;"Terminal PCSC disconnected successfully"
2020/05/28;21:36:14.390;INFO;22984;0;client::ClientEngine::disconnectClient@143;"Client disconnected successfully"
2020/05/28;21:36:14.391;DEBUG;28020;0;client::ClientTCPSocket::sendPacket@106;"Failed to receive data from server -  [socket:18446744073709551615][buffer:-788529152][size:4][flags:0]"
2020/05/28;21:36:14.392;DEBUG;28020;0;client::ClientEngine::sendResult@223;"Error during sendResult"
2020/05/28;21:36:14.392;INFO;28020;0;client::ClientEngine::waitingRequests@163;"Client not waiting for requests"
2020/05/28;21:40:01.177;INFO;20916;0;client::ClientEngine::connectClient@93;"Client trying to connect on IP 127.0.0.1 port 62111"
2020/05/28;21:40:01.182;DEBUG;20916;0;client::ClientTCPSocket::connectClient@59;"Socket = 1752"
2020/05/28;21:40:01.287;DEBUG;20916;0;client::ExampleTerminalPCSCContactless::connect@122;"Reader connected: Alcor Micro USB Smart Card Reader 0"
2020/05/28;21:40:01.287;INFO;20916;0;client::ClientEngine::connectClient@120;"Client connected on IP 127.0.0.1 port 62111"
2020/05/28;21:40:01.288;INFO;17348;0;client::ClientEngine::waitingRequests@151;"Client ready to process incoming requests"
2020/05/28;21:40:04.379;INFO;17348;0;client::ClientEngine::handleRequest@174;"Request received from server: {""data"":"""",""request"":3,""timeout"":5500}"
2020/05/28;21:40:04.380;INFO;16444;0;client::Echo::run@24;"Request ""echo"" is being processed"
2020/05/28;21:40:04.392;INFO;17348;0;client::ClientEngine::sendResult@228;"Response sent to server: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":0,""response"":""6D 00"",""terminal_description"":""OK""}"
2020/05/28;21:40:08.178;INFO;17348;0;client::ClientEngine::handleRequest@174;"Request received from server: {""data"":""0000"",""request"":6,""timeout"":4999}"
2020/05/28;21:40:08.179;INFO;784;0;client::Command::run@24;"Request ""command"" is being processed"
2020/05/28;21:40:08.195;DEBUG;784;0;client::ExampleTerminalPCSCContactless::sendCommand@139;"Failed to call SCardTransmit() [error:The parameter is incorrect.][card:16861477009170104326][pbSendBuffer:0x22ddcc0d570][cbSendLength:2][recvbuffer:m][recvlength:65536]"
2020/05/28;21:40:08.195;INFO;17348;0;client::ClientEngine::sendResult@228;"Response sent to server: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":87,""response"":""KO"",""terminal_description"":""Failed to send command: The parameter is incorrect.""}"
2020/05/28;21:40:11.181;INFO;17348;0;client::ClientEngine::handleRequest@174;"Request received from server: {""data"":""00"",""request"":6,""timeout"":54999}"
2020/05/28;21:40:11.182;INFO;10720;0;client::Command::run@24;"Request ""command"" is being processed"
2020/05/28;21:40:11.182;DEBUG;10720;0;client::Command::run@27;"Command : "
2020/05/28;21:40:21.183;DEBUG;10720;0;client::Command::run@29;"End Sleep : "
2020/05/28;21:40:21.184;INFO;17348;0;client::ClientEngine::sendResult@228;"Response sent to server: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":0,""response"":""119000"",""terminal_description"":""OK""}"
2020/05/28;21:40:27.213;INFO;17348;0;client::ClientEngine::handleRequest@174;"Request received from server: {""data"":"""",""request"":2,""timeout"":4999}"
2020/05/28;21:40:27.215;INFO;21288;0;client::ExampleTerminalPCSCContactless::disconnect@293;"Terminal PCSC disconnected successfully"
2020/05/28;21:40:27.225;INFO;21288;0;client::ClientEngine::disconnectClient@143;"Client disconnected successfully"
2020/05/28;21:40:27.227;DEBUG;17348;0;client::ClientTCPSocket::sendPacket@106;"Failed to receive data from server -  [socket:18446744073709551615][buffer:-788529152][size:4][flags:0]"
2020/05/28;21:40:27.227;DEBUG;17348;0;client::ClientEngine::sendResult@223;"Error during sendResult"
2020/05/28;21:40:27.227;INFO;17348;0;client::ClientEngine::waitingRequests@163;"Client not waiting for requests"
2020/05/28;21:43:34.717;INFO;6376;0;client::ExampleTerminalPCSCContactless::init@50;"Terminal PCSC initialized"
2020/05/28;21:43:34.723;INFO;6376;0;client::ClientEngine::initClient@67;"Client initialized successfully"
2020/05/28;21:43:35.014;DEBUG;6376;0;client::ExampleTerminalPCSCContactless::loadAndListReaders@81;"Loaded reader: Alcor Micro USB Smart Card Reader 0"
2020/05/28;21:43:35.014;DEBUG;6376;0;client::ExampleTerminalPCSCContactless::loadAndListReaders@81;"Loaded reader: NXP NXP's Proximity based PCSC Reader 0"
2020/05/28;21:43:35.014;INFO;6376;0;client::ExampleTerminalPCSCContactless::loadAndListReaders@87;"Readers loaded"
2020/05/28;21:43:42.738;INFO;6376;0;client::ClientEngine::connectClient@93;"Client trying to connect on IP 127.0.0.1 port 62111"
2020/05/28;21:43:42.745;DEBUG;6376;0;client::ClientTCPSocket::connectClient@59;"Socket = 1656"
2020/05/28;21:43:43.133;DEBUG;6376;0;client::ExampleTerminalPCSCContactless::connect@122;"Reader connected: Alcor Micro USB Smart Card Reader 0"
2020/05/28;21:43:43.134;INFO;6376;0;client::ClientEngine::connectClient@120;"Client connected on IP 127.0.0.1 port 62111"
2020/05/28;21:43:43.134;INFO;16100;0;client::ClientEngine::waitingRequests@151;"Client ready to process incoming requests"
2020/05/28;21:43:47.980;INFO;16100;0;client::ClientEngine::handleRequest@174;"Request received from server: {""data"":"""",""request"":3,""timeout"":5500}"
2020/05/28;21:43:47.983;INFO;2880;0;client::Echo::run@24;"Request ""echo"" is being processed"
